13	R	12959
13	J	12974
12	R	12974
12	J	12989
11	R	12989
11	J	13004
10	R	13004
10	J	13019
9	R	13019
9	J	13034
8	R	13034
8	J	13049
7	R	13049
7	J	13064
16	R	13064
16	J	13079
15	R	13079
15	J	13094
14	R	13094
14	J	13109
13	R	13109
13	J	13124
12	R	13124
12	J	13139
11	R	13139
11	J	13154
10	R	13154
10	J	13169
9	R	13169
9	J	13184
8	R	13184
8	J	13199
7	R	13199
7	J	13214
16	R	13214
16	J	13229
15	R	13229
15	J	13244
14	R	13244
14	J	13259
13	R	13259
13	J	13274
12	R	13274
12	J	13289
11	R	13289
11	J	13304
10	R	13304
10	J	13319
9	R	13319
9	J	13334
8	R	13334
8	J	13349
7	R	13349
7	J	13364
16	R	13364
16	J	13379
15	R	13379
15	J	13394
14	R	13394
14	J	13409
13	R	13409
13	J	13424
12	R	13424
12	J	13439
11	R	13439
11	J	13454
10	R	13454
10	J	13469
9	R	13469
9	J	13484
8	R	13484
8	J	13499
7	R	13499
7	J	13514
16	R	13514
16	J	13529
15	R	13529
15	J	13544
14	R	13544
14	J	13559
13	R	13559
13	J	13574
12	R	13574
12	J	13589
11	R	13589
11	J	13604
10	R	13604
10	J	13619
9	R	13619
9	J	13634
8	R	13634
8	J	13649
7	R	13649
7	J	13664
16	R	13664
16	J	13679
15	R	13679
15	J	13694
14	R	13694
14	J	13709
13	R	13709
13	J	13724
12	R	13724
12	J	13739
11	R	13739
11	J	13754
10	R	13754
10	J	13769
9	R	13769
9	J	13784
8	R	13784
8	J	13799
7	R	13799
7	J	13814
16	R	13814
16	J	13829
15	R	13829
15	J	13844
14	R	13844
14	J	13859
13	R	13859
13	J	13874
12	R	13874
12	J	13889
11	R	13889
11	J	13904
10	R	13904
10	J	13919
9	R	13919
9	J	13934
8	R	13934
8	J	13949
7	R	13949
7	J	13964
16	R	13964
16	Z	13964
15	R	13964
15	J	13979
14	R	13979
14	J	13994
13	R	13994
13	J	14009
12	R	14009
12	J	14024
11	R	14024
11	J	14039
10	R	14039
10	J	14054
9	R	14054
9	J	14069
1	J	14069
16	R	14069
16	Z	14069
8	R	14069
8	J	14084
7	R	14084
7	J	14099
15	R	14099
15	J	14114
14	R	14114
14	J	14129
13	R	14129
